Time,GDP(constant),GDP_growth,Total_population,SDG1-1,SDG2-1,SDG3-1,SDG3-2,SDG3-3,SDG3-4,SDG3-5,SDG3-6,SDG4-1,SDG6-1,SDG6-2,SDG6-3,SDG7-1,SDG7-2,SDG8-3,SDG8-4,SDG8-5,SDG8-6,SDG9-1,SDG9-2,SDG9-3,SDG9-4,SDG9-5,SDG9-6,SDG10-1,SDG11-1,SDG12-1,SDG12-2,SDG13-1,SDG14-1,SDG15-1,SDG16-1,SDG17-1,SDG17-2,SDG17-3,SDG17-4,SDG17-5,SDG17-6,SDG17-7
0.030739427,0.673407816,0.053099407,0.904797519,0.520960491,0.733734529,-0.087365341,0.133640901,0.804151747,0.643090508,0.082518334,0.98451896,0.368761723,0.108799353,-0.016689746,0.074210652,0.096660009,0.147782421,0.055606099,0.050934975,0.052873704,0.145959492,0.585460558,0.635229067,0.255720261,0.844156347,0.8860013,0.074655955,0.64426782,1,0.69338244,0.847414876,0.916066125,0.85510363,0.441763138,0.035631204,0.625951694,0.71477785,0.706039301,0.507736427,0.571095221,0.787284471,0.694899766
0.12200413,0.551735244,0.053817795,0.565073659,0.470630217,0.434214088,0.020545776,-0.02341581,0.515437334,0.408744033,0.013890333,0.677423959,0.309936552,-0.146891195,-0.032046695,-0.100065,-0.056472503,-0.043438507,-0.022354343,-0.049388984,-0.067644651,0.06980668,0.464956128,0.573758737,0.12769055,0.560615616,0.681939117,0.064509972,0.509826654,0.69338244,1,0.670129856,0.649555969,0.519241914,0.315770519,-0.059949415,0.532870632,0.570524491,0.478423231,0.327672714,0.464280713,0.57300298,0.499520887
0.097701135,0.914335956,-0.01926877,0.644456602,0.273928993,0.368768705,-0.18587272,0.221506745,0.548732478,0.350623592,0.184574417,0.855092734,0.049159403,0.204270242,0.154451603,0.164534068,0.177151818,0.182367116,0.219868927,0.176781352,0.148677961,0.306304233,0.791239364,0.888584098,0.367086428,0.963267312,0.94447086,0.251274437,0.909939165,0.847414876,0.670129856,1,0.91622471,0.64682992,0.415968368,0.130322953,0.891902594,0.933777274,0.949128105,0.387654882,0.726615569,0.874123237,0.877394064
0.024731571,0.821929071,0.029087727,0.739739371,0.360949884,0.517884036,-0.127422585,0.144885369,0.65694833,0.456909047,0.098347946,0.921050035,0.140263157,0.156075531,0.064173571,0.103848278,0.113082995,0.140241442,0.1383815,0.106942913,0.105645986,0.186843125,0.754866076,0.81995172,0.268580407,0.922329005,0.940301337,0.177774062,0.788358755,0.916066125,0.649555969,0.91622471,1,0.789999345,0.339219924,0.076644809,0.752845018,0.857663136,0.922781192,0.335418168,0.674792482,0.83264739,0.778238145
0.032068124,0.391151342,0.06496971,0.77217668,0.386726065,0.633764805,-0.057342114,0.086188935,0.621502136,0.466220157,-0.00975457,0.850248002,0.354244516,0.022478835,-0.054517052,0.008089807,0.000391104,0.067719036,-0.015646614,-0.040797403,-0.025008982,0.033333027,0.324947888,0.365439661,0.153352916,0.66549123,0.684058208,0.231298237,0.385501329,0.85510363,0.519241914,0.64682992,0.789999345,1,0.20635514,-0.008333958,0.363437943,0.464565785,0.295391106,0.284555885,0.325409557,0.744477393,0.477484824
0.08623663,0.381989315,0.031803946,0.563357721,0.530384714,0.555077088,-0.042643916,0.120724561,0.604309805,0.579489603,0.084903364,0.44773833,0.187385857,-0.009879793,0.087659113,0.047545609,0.092827587,0.087019312,0.108681872,0.065681954,0.020444247,0.088291235,0.238209508,0.3224149,0.256388547,0.33317887,0.340581771,0.138959858,0.34665204,0.441763138,0.315770519,0.415968368,0.339219924,0.20635514,1,0.092514964,0.363457355,0.40049529,0.346903694,0.700323686,0.250359833,0.26928763,0.491748688
0.004116158,0.231633131,-0.117308371,-0.038861445,-0.133115694,-0.119493191,-0.618661595,0.669194298,0.002341607,-0.079523123,0.69497125,0.005152334,-0.236858299,0.63277123,0.716790226,0.529514693,0.584383155,0.473453412,0.795422941,0.752362798,0.643650303,0.556195844,0.328262063,0.241812549,0.803247226,0.131813784,0.111695952,0.498773115,0.235083122,0.035631204,-0.059949415,0.130322953,0.076644809,-0.008333958,0.092514964,1,0.277518795,0.229594389,0.270487949,-0.020651395,0.2666521,0.087388481,0.359382892
0.074315598,0.948417314,-0.083775965,0.375246415,0.115447491,0.162773897,-0.238431665,0.28941356,0.355347173,0.177984739,0.30385953,0.639551534,-0.02008821,0.255105134,0.231526249,0.20660957,0.22696316,0.187838016,0.381573074,0.308222229,0.234835744,0.418725331,0.866392887,0.898380191,0.489013729,0.853445394,0.845866395,0.223601888,0.95706637,0.625951694,0.532870632,0.891902594,0.752845018,0.363437943,0.363457355,0.277518795,1,0.955013042,0.930938846,0.278931898,0.800493178,0.680318107,0.876148467
0.020955735,0.987869363,-0.053579358,0.485708856,0.189760192,0.263742662,-0.193619506,0.235169863,0.43656658,0.25050485,0.243207488,0.709253287,0.016046402,0.222574893,0.165371326,0.170434313,0.180666644,0.170601859,0.308718445,0.234114239,0.187566689,0.373356434,0.890748992,0.957648555,0.426599602,0.914880916,0.909368389,0.258674563,0.979888107,0.71477785,0.570524491,0.933777274,0.857663136,0.464565785,0.40049529,0.229594389,0.955013042,1,0.97389756,0.281652801,0.792911828,0.719570092,0.859763478
0.047572359,0.991921262,-0.098732203,0.313539412,-0.01148362,0.024960667,-0.173205055,0.198954868,0.267608815,0.05865039,0.271557079,0.725267134,-0.025062472,0.189530246,0.188109034,0.170068841,0.187173924,0.144114674,0.371075445,0.309824894,0.216725936,0.405448283,0.944129957,0.976840776,0.380200217,0.974351875,0.943297737,0.185345917,0.994748353,0.706039301,0.478423231,0.949128105,0.922781192,0.295391106,0.346903694,0.270487949,0.930938846,0.97389756,1,0.182305697,0.800037855,0.906093085,0.824188949
0.140182404,0.263302418,0.022049174,0.582488586,0.739599616,0.619903983,-0.024986983,0.116920658,0.662281655,0.616088044,0.029604519,0.458458348,0.292876882,-0.066602806,0.002133197,0.053017908,0.051084162,0.138736149,0.052752627,0.057035965,0.011133954,0.031862636,0.172814841,0.212848294,0.186700238,0.293286327,0.302200619,0.013041849,0.244436864,0.507736427,0.327672714,0.387654882,0.335418168,0.284555885,0.700323686,-0.020651395,0.278931898,0.281652801,0.182305697,1,0.226372064,0.27637398,0.362341154
0.129275569,0.748601357,-0.001905797,0.337673809,0.126185864,0.184857382,-0.215002195,0.247096974,0.287187187,0.146300615,0.297658886,0.515572632,-0.002355593,0.229407567,0.223413118,0.194316923,0.212321083,0.176194231,0.337768174,0.278738012,0.201563294,0.337120037,0.7609025,0.783652222,0.403384464,0.65814707,0.661151951,0.122864317,0.797105773,0.571095221,0.464280713,0.726615569,0.674792482,0.325409557,0.250359833,0.2666521,0.800493178,0.792911828,0.800037855,0.226372064,1,0.532332035,0.749283784
0.091362722,0.673639691,0.008001623,0.578551616,0.182686495,0.334015925,-0.128932879,0.163751906,0.489167985,0.375728549,0.104960279,0.823945293,-0.017959813,0.18251547,0.077753439,0.088603095,0.091064735,0.101867791,0.112823877,0.073733621,0.070122717,0.19064843,0.598623721,0.681620612,0.276593821,0.889973346,0.794616876,0.216282341,0.725220645,0.787284471,0.57300298,0.874123237,0.83264739,0.744477393,0.26928763,0.087388481,0.680318107,0.719570092,0.906093085,0.27637398,0.532332035,1,0.750795497
0.166597434,0.836610989,-0.023465478,0.434413268,0.160440136,0.256180512,-0.298639217,0.337192891,0.431847148,0.242287336,0.363373109,0.642098747,-0.028263551,0.32548771,0.336341673,0.251262777,0.278026285,0.229783697,0.429763907,0.358655262,0.265953926,0.431880621,0.81843061,0.789787411,0.584463194,0.866095934,0.836254458,0.350873601,0.855096562,0.694899766,0.499520887,0.877394064,0.778238145,0.477484824,0.491748688,0.359382892,0.876148467,0.859763478,0.824188949,0.362341154,0.749283784,0.750795497,1
