Indicator,Index,values,Year
SDG17-6,4,100.1538806,2021
SDG17-7,4,99.46956379,2021
SDG1-1,1,102.1437977,2022
SDG2-1,1,103.345234,2022
SDG3-3,1,92.41063154,2022
SDG3-6,1,102.40302,2022
SDG4-1,1,98.08502008,2022
SDG6-2,1,99.25951346,2022
SDG7-1,1,97.3136646,2022
SDG8-1,1,115,2022
SDG8-2,1,103.6606112,2022
SDG8-4,1,99.23987366,2022
SDG8-5,1,98.71663602,2022
SDG9-1,1,109.6557574,2022
SDG9-2,1,129.7691618,2022
SDG9-4,1,102.7743774,2022
SDG9-5,1,100.7077903,2022
SDG10-1,1,108.1677932,2022
SDG11-1,1,103.2388911,2022
SDG12-1,1,99.31172597,2022
SDG12-2,1,97.30912802,2022
SDG13-1,1,95.39377146,2022
SDG14-1,1,91.59218028,2022
SDG17-1,1,101.2175944,2022
SDG17-2,1,102.997705,2022
SDG17-4,1,102.6435945,2022
SDG17-5,1,105.5950999,2022
SDG17-7,1,103.8297304,2022
SDG1-1,2,106.6491365,2022
SDG2-1,2,104.8329758,2022
SDG3-3,2,98.77975914,2022
SDG3-6,2,105.3336486,2022
SDG4-1,2,104.1260143,2022
SDG6-2,2,102.2887456,2022
SDG7-1,2,101.3286947,2022
SDG8-1,2,110,2022
SDG8-2,2,109.6617365,2022
SDG8-4,2,104.8186674,2022
SDG8-5,2,102.3977047,2022
SDG9-1,2,115.885093,2022
SDG9-2,2,125.8995722,2022
SDG9-4,2,113.5699894,2022
SDG9-5,2,108.9003957,2022
SDG10-1,2,118.6867125,2022
SDG11-1,2,105.3075182,2022
SDG12-1,2,100.8606451,2022
SDG12-2,2,95.13748608,2022
SDG13-1,2,92.46426638,2022
SDG14-1,2,95.06086091,2022
SDG17-1,2,108.6351557,2022
SDG17-2,2,107.3882548,2022
SDG17-4,2,101.64036,2022
SDG17-5,2,108.8883956,2022
SDG17-7,2,113.93936,2022
SDG2-1,3,107.4092077,2022
SDG8-1,3,125,2022
SDG8-2,3,99.30700712,2022
SDG9-1,3,102.1491435,2022
SDG9-2,3,114.543307,2022
SDG9-4,3,101.1935389,2022
SDG9-5,3,102.3015534,2022
SDG9-6,3,97.66100392,2022
SDG10-1,3,98.4963662,2022
SDG11-1,3,99.26693509,2022
SDG12-1,3,94.26696376,2022
SDG12-2,3,99.71513658,2022
SDG13-1,3,99.15286851,2022
SDG17-1,3,98.80038084,2022
SDG17-2,3,98.70593444,2022
SDG17-3,3,103.7315237,2022
SDG17-6,3,98.42308903,2022
SDG17-7,3,99.45418511,2022
SDG2-1,4,105.0845621,2022
SDG8-1,4,97,2022
SDG8-2,4,103.5304279,2022
SDG9-1,4,103.9933991,2022
SDG9-2,4,108.1778959,2022
SDG9-4,4,102.7903016,2022
SDG9-5,4,100.8824431,2022
SDG9-6,4,105.0217534,2022
SDG10-1,4,100.5287981,2022
SDG11-1,4,100.7715482,2022
SDG12-1,4,102.3460502,2022
SDG12-2,4,99.21509155,2022
SDG13-1,4,96.44118674,2022
SDG17-1,4,102.3804906,2022
SDG17-2,4,100.4376112,2022
SDG17-3,4,103.7315237,2022
SDG17-6,4,100.3632181,2022
SDG17-7,4,99.50050355,2022
SDG1-1,1,105.0686679,2023
SDG2-1,1,104.4219351,2023
SDG3-3,1,98.26453359,2023
SDG3-6,1,104.1469898,2023
SDG4-1,1,102.0366999,2023
SDG6-2,1,100.4066868,2023
SDG7-1,1,99.29839587,2023
SDG8-1,1,110,2023
SDG8-2,1,107.4992464,2023
SDG8-4,1,101.5115353,2023
SDG8-5,1,100.7567167,2023
SDG9-1,1,116.8159909,2023
SDG9-2,1,130.2728224,2023
SDG9-4,1,106.6937445,2023
SDG9-5,1,102.6663219,2023
SDG10-1,1,112.7956407,2023
SDG11-1,1,103.8378747,2023
SDG12-1,1,99.0269388,2023
SDG12-2,1,95.95206693,2023
SDG13-1,1,94.29942821,2023
SDG14-1,1,90.01881661,2023
SDG17-1,1,106.2798511,2023
SDG17-2,1,105.1387149,2023
SDG17-4,1,102.6470551,2023
SDG17-5,1,107.589279,2023
SDG17-7,1,107.1334615,2023
SDG1-1,2,110.2250782,2023
SDG2-1,2,106.5296559,2023
SDG3-3,2,102.3817868,2023
SDG3-6,2,107.2213488,2023
SDG4-1,2,109.3737782,2023
SDG6-2,2,103.0935318,2023
SDG7-1,2,101.8379911,2023
SDG8-1,2,110,2023
SDG8-2,2,113.4620215,2023
SDG8-4,2,106.8911257,2023
SDG8-5,2,103.5084195,2023
SDG9-1,2,120.1762065,2023
SDG9-2,2,131.234434,2023
SDG9-4,2,118.5355062,2023
SDG9-5,2,110.757901,2023
SDG10-1,2,124.0831457,2023
SDG11-1,2,105.9218051,2023
SDG12-1,2,99.84069885,2023
SDG12-2,2,94.20498544,2023
SDG13-1,2,91.29714551,2023
SDG14-1,2,88.27120002,2023
SDG17-1,2,113.2953824,2023
SDG17-2,2,110.350651,2023
SDG17-4,2,101.8960381,2023
SDG17-5,2,114.0782203,2023
SDG17-7,2,116.1793451,2023
SDG2-1,3,108.3674714,2023
SDG8-1,3,111.6,2023
SDG8-2,3,101.1759124,2023
SDG9-1,3,107.3809015,2023
SDG9-2,3,112.0022268,2023
SDG9-4,3,100.6820983,2023
SDG9-5,3,101.4204909,2023
SDG9-6,3,101.5129671,2023
SDG10-1,3,99.01528795,2023
SDG11-1,3,99.3845931,2023
SDG12-1,3,101.2327396,2023
SDG12-2,3,99.46779609,2023
SDG13-1,3,100.5152591,2023
SDG17-1,3,99.90751003,2023
SDG17-2,3,100.7787726,2023
SDG17-3,3,104.8991476,2023
SDG17-6,3,99.88184793,2023
SDG17-7,3,99.33862429,2023
SDG2-1,4,104.7221569,2023
SDG8-1,4,97,2023
SDG8-2,4,104.8376376,2023
SDG9-1,4,109.3632256,2023
SDG9-2,4,109.9121428,2023
SDG9-4,4,103.2498631,2023
SDG9-5,4,100.8930254,2023
SDG9-6,4,106.5162992,2023
SDG10-1,4,101.439195,2023
SDG11-1,4,101.1192579,2023
SDG12-1,4,103.6181878,2023
SDG12-2,4,99.17659006,2023
SDG13-1,4,96.64242635,2023
SDG17-1,4,102.0947465,2023
SDG17-2,4,100.7101046,2023
SDG17-3,4,105.0416736,2023
SDG17-6,4,100.6427488,2023
SDG17-7,4,102.4004134,2023
SDG1-1,1,107.8149918,2024
SDG2-1,1,106.4510064,2024
SDG3-3,1,101.8169962,2024
SDG3-6,1,104.4057657,2024
SDG4-1,1,103.8489352,2024
SDG6-2,1,101.1809751,2024
SDG7-1,1,100.9834583,2024
SDG8-1,1,110,2024
SDG8-2,1,111.3410204,2024
SDG8-4,1,103.314197,2024
SDG8-5,1,102.9704723,2024
SDG9-1,1,118.0571436,2024
SDG9-2,1,132.8892933,2024
SDG9-4,1,110.2937112,2024
SDG9-5,1,108.1126773,2024
SDG10-1,1,122.9243801,2024
SDG11-1,1,103.8298372,2024
SDG12-1,1,100.9662668,2024
SDG12-2,1,94.50143945,2024
SDG13-1,1,93.61475428,2024
SDG14-1,1,85.92498593,2024
SDG17-1,1,113.7719254,2024
SDG17-2,1,107.4160958,2024
SDG17-4,1,102.9691687,2024
SDG17-5,1,117.6504749,2024
SDG17-7,1,109.6716693,2024
SDG1-1,2,110.5267334,2024
SDG2-1,2,108.2094518,2024
SDG3-3,2,101.9537436,2024
SDG3-6,2,106.7655453,2024
SDG4-1,2,110.4421365,2024
SDG6-2,2,103.5905819,2024
SDG7-1,2,102.2749949,2024
SDG8-1,2,110,2024
SDG8-2,2,117.1408682,2024
SDG8-4,2,107.3670649,2024
SDG8-5,2,104.3896639,2024
SDG9-1,2,122.7653849,2024
SDG9-2,2,133.948647,2024
SDG9-4,2,124.5067915,2024
SDG9-5,2,114.9950256,2024
SDG10-1,2,132.9102462,2024
SDG11-1,2,105.7678042,2024
SDG12-1,2,100.7353553,2024
SDG12-2,2,92.67231739,2024
SDG13-1,2,91.94163921,2024
SDG14-1,2,85.41891055,2024
SDG17-1,2,120.8106148,2024
SDG17-2,2,112.3573362,2024
SDG17-4,2,102.8367308,2024
SDG17-5,2,122.536848,2024
SDG17-7,2,117.2681354,2024
